Country,Year,Attack Type,Target Industry,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Financial Loss (in Million $),Incident Resolution Time (in Ho,Number of Affected Users,Region,Incident Cost Per User ($),Attack Velocity (Per Hour),Financial Loss Score,Resolution Speed Score,User Impact Score,Overal Severity Score,Attack Complexity Score,Vulnerability Complexity Score,Overall Complexity Score,Geopolitical Risk Score
Brazil,2019,DDoS,Healthcare,Unknown,Zero-day,Firewall,71.93,42,200139,South America,359.4,4765,1,2,1,1,2,3,3,3
France,2016,DDoS,Banking,Insider,Unpatched Software,Antivirus,115.01,42,136139,Western Europe,844.8,3241,1,2,1,1,2,2,2,2
Australia,2016,Malware,Retail,Unknown,Social Engineering,Antivirus,28.64,42,102438,Oceania,279.58,2439,1,2,1,1,2,1,2,1
India,2019,DDoS,Banking,Unknown,Weak Passwords,Antivirus,99.56,42,302149,South Asia,329.51,7194,1,2,2,2,2,1,2,4
France,2019,DDoS,IT,Unknown,Unpatched Software,Encryption,58.95,42,143415,Western Europe,411.04,3415,1,2,1,1,2,2,2,2
France,2020,DDoS,IT,Insider,Unpatched Software,Firewall,89.51,42,171338,Western Europe,522.42,4079,1,2,1,1,2,2,2,2
Germany,2023,DDoS,Telecommunications,Unknown,Social Engineering,Firewall,48.13,42,206656,Western Europe,232.9,4920,1,2,1,1,2,1,2,2
Australia,2022,Phishing,Healthcare,Nation-state,Zero-day,Encryption,141.33,42,373399,Oceania,378.5,8890,2,2,2,2,1,3,2,1
India,2024,Phishing,IT,Unknown,Zero-day,Encryption,43.93,42,368082,South Asia,119.35,8764,1,2,2,2,1,3,2,4
India,2015,Man-in-the-Middle,Telecommunications,Nation-state,Zero-day,AI-based Detection,57.12,42,107183,South Asia,532.92,2552,1,2,1,1,3,3,3,4
China,2021,Malware,Retail,Unknown,Social Engineering,Antivirus,22.59,42,280551,East Asia,80.52,6680,1,2,2,2,2,1,2,4
France,2024,DDoS,IT,Unknown,Social Engineering,Encryption,60.52,42,198177,Western Europe,305.38,4719,1,2,1,1,2,1,2,2
France,2022,Ransomware,Banking,Unknown,Social Engineering,AI-based Detection,114.68,42,294502,Western Europe,389.4,7012,1,2,2,2,2,1,2,2
Brazil,2024,DDoS,Healthcare,Insider,Zero-day,Encryption,87.78,42,294444,South America,298.12,7011,1,2,2,2,2,3,3,3
France,2020,Malware,Telecommunications,Hacker Group,Social Engineering,Encryption,101.13,42,244439,Western Europe,413.72,5820,1,2,2,2,2,1,2,2
Russia,2015,Ransomware,Retail,Unknown,Unpatched Software,AI-based Detection,41.71,42,106338,Eastern Europe,392.24,2532,1,2,1,1,2,2,2,5
USA,2017,Ransomware,Government,Unknown,Zero-day,Firewall,84.18,42,242380,Northern America,347.31,5771,1,2,2,2,2,3,3,3
France,2015,Ransomware,IT,Unknown,Social Engineering,Firewall,123.95,42,199187,Western Europe,622.28,4743,1,2,1,1,2,1,2,2
UK,2021,Malware,Telecommunications,Insider,Unpatched Software,Antivirus,56.37,42,275188,Northern Europe,204.84,6552,1,2,2,2,2,2,2,2
Japan,2017,Ransomware,Retail,Insider,Unpatched Software,VPN,49.22,43,90879,East Asia,541.6,2113,1,2,1,1,2,2,2,2
Russia,2018,Malware,Retail,Unknown,Weak Passwords,VPN,39.93,43,176278,Eastern Europe,226.52,4099,1,2,1,1,2,1,2,5
UK,2022,Phishing,Retail,Hacker Group,Unpatched Software,Antivirus,49.64,43,324238,Northern Europe,153.1,7540,1,2,2,2,1,2,2,2
USA,2019,Ransomware,Healthcare,Unknown,Zero-day,AI-based Detection,116.32,43,360398,Northern America,322.75,8381,1,2,2,2,2,3,3,3
China,2020,SQL Injection,Telecommunications,Nation-state,Unpatched Software,VPN,37.06,43,228444,East Asia,162.23,5313,1,2,2,2,3,2,3,4
Brazil,2022,Ransomware,Retail,Unknown,Unpatched Software,AI-based Detection,27.88,43,155172,South America,179.67,3609,1,2,1,1,2,2,2,3
Australia,2024,Phishing,Telecommunications,Nation-state,Zero-day,VPN,36.27,43,297037,Oceania,122.11,6908,1,2,2,2,1,3,2,1
India,2015,SQL Injection,Government,Nation-state,Unpatched Software,Firewall,36.86,43,64714,South Asia,569.58,1505,1,2,1,1,3,2,3,4
Brazil,2018,Malware,Education,Hacker Group,Zero-day,Encryption,83.33,43,171635,South America,485.51,3992,1,2,1,1,2,3,3,3
Russia,2023,DDoS,IT,Insider,Unpatched Software,Firewall,97.21,43,416546,Eastern Europe,233.37,9687,1,2,2,2,2,2,2,5
USA,2018,DDoS,Government,Insider,Weak Passwords,Firewall,102.03,43,219661,Northern America,464.49,5108,1,2,1,1,2,1,2,3
Russia,2024,SQL Injection,Government,Hacker Group,Weak Passwords,Firewall,46.8,43,199015,Eastern Europe,235.16,4628,1,2,1,1,3,1,2,5
Japan,2022,Malware,Education,Nation-state,Unpatched Software,VPN,37.28,43,210526,East Asia,177.08,4896,1,2,1,1,2,2,2,2
France,2020,Ransomware,Retail,Nation-state,Social Engineering,Encryption,145.92,43,260098,Western Europe,561.02,6049,2,2,2,2,2,1,2,2
China,2021,Ransomware,Healthcare,Unknown,Social Engineering,Firewall,131,43,308870,East Asia,424.13,7183,2,2,2,2,2,1,2,4
Japan,2022,Ransomware,IT,Unknown,Unpatched Software,VPN,55.46,43,174273,East Asia,318.24,4053,1,2,1,1,2,2,2,2
France,2016,DDoS,Education,Hacker Group,Zero-day,Firewall,70.31,43,85812,Western Europe,819.35,1996,1,2,1,1,2,3,3,2
UK,2018,Malware,Government,Insider,Unpatched Software,Antivirus,82.86,43,222749,Northern Europe,371.99,5180,1,2,1,1,2,2,2,2
UK,2017,Phishing,Banking,Hacker Group,Social Engineering,Antivirus,140.36,43,357927,Northern Europe,392.15,8324,2,2,2,2,1,1,1,2
Japan,2021,DDoS,Banking,Insider,Weak Passwords,Firewall,177.69,43,287570,East Asia,617.9,6688,2,2,2,2,2,1,2,2
China,2015,Ransomware,Government,Unknown,Zero-day,AI-based Detection,55.38,43,119468,East Asia,463.56,2778,1,2,1,1,2,3,3,4
France,2018,Phishing,Retail,Hacker Group,Social Engineering,AI-based Detection,39.01,43,183562,Western Europe,212.52,4269,1,2,1,1,1,1,1,2
Brazil,2021,Phishing,Telecommunications,Hacker Group,Unpatched Software,Antivirus,72.52,43,237192,South America,305.74,5516,1,2,2,2,1,2,2,3
Brazil,2024,Phishing,Telecommunications,Hacker Group,Weak Passwords,VPN,64.42,43,278803,South America,231.06,6484,1,2,2,2,1,1,1,3
UK,2015,Phishing,IT,Hacker Group,Weak Passwords,AI-based Detection,63.25,43,241353,Northern Europe,262.06,5613,1,2,2,2,1,1,1,2
UK,2015,Ransomware,Government,Insider,Social Engineering,VPN,56.06,43,125061,Northern Europe,448.26,2908,1,2,1,1,2,1,2,2
Germany,2021,Malware,Retail,Insider,Unpatched Software,Encryption,38.23,43,239364,Western Europe,159.71,5567,1,2,2,2,2,2,2,2
China,2016,Malware,Telecommunications,Unknown,Social Engineering,AI-based Detection,36.27,43,202553,East Asia,179.06,4711,1,2,1,1,2,1,2,4
Germany,2018,Ransomware,Healthcare,Unknown,Unpatched Software,VPN,132.66,43,242876,Western Europe,546.2,5648,2,2,2,2,2,2,2,2
India,2015,Man-in-the-Middle,Healthcare,Nation-state,Weak Passwords,Antivirus,145.39,43,192297,South Asia,756.07,4472,2,2,1,2,3,1,2,4
USA,2020,Man-in-the-Middle,Telecommunications,Nation-state,Zero-day,VPN,62.46,43,240775,Northern America,259.41,5599,1,2,2,2,3,3,3,3
Australia,2024,Man-in-the-Middle,Telecommunications,Nation-state,Unpatched Software,VPN,15.61,43,160643,Oceania,97.17,3736,1,2,1,1,3,2,3,1
China,2024,DDoS,Banking,Unknown,Weak Passwords,Encryption,89.9,43,508874,East Asia,176.66,11834,1,2,3,2,2,1,2,4
Australia,2024,Phishing,IT,Nation-state,Social Engineering,Firewall,83.9,43,378623,Oceania,221.59,8805,1,2,2,2,1,1,1,1
China,2022,Ransomware,Education,Unknown,Zero-day,VPN,58.63,43,235483,East Asia,248.98,5476,1,2,2,2,2,3,3,4
India,2018,Phishing,Retail,Hacker Group,Social Engineering,VPN,19.93,43,187779,South Asia,106.14,4367,1,2,1,1,1,1,1,4
USA,2017,Man-in-the-Middle,Retail,Nation-state,Social Engineering,VPN,30.84,43,142034,Northern America,217.13,3303,1,2,1,1,3,1,2,3
India,2023,Ransomware,Retail,Unknown,Unpatched Software,VPN,43.69,43,201904,South Asia,216.39,4695,1,2,1,1,2,2,2,4
Brazil,2021,DDoS,Education,Hacker Group,Zero-day,Encryption,91.59,43,221342,South America,413.79,5147,1,2,1,1,2,3,3,3
France,2015,SQL Injection,IT,Hacker Group,Social Engineering,Firewall,43.42,43,83422,Western Europe,520.49,1940,1,2,1,1,3,1,2,2
France,2021,Malware,Telecommunications,Hacker Group,Social Engineering,Firewall,90.23,43,252471,Western Europe,357.39,5871,1,2,2,2,2,1,2,2
Australia,2022,Malware,Healthcare,Unknown,Weak Passwords,Encryption,93.96,43,274994,Oceania,341.68,6395,1,2,2,2,2,1,2,1
Australia,2018,DDoS,Banking,Insider,Weak Passwords,AI-based Detection,144.33,43,170735,Oceania,845.35,3971,2,2,1,2,2,1,2,1
Japan,2023,Malware,IT,Hacker Group,Zero-day,AI-based Detection,123.21,43,348039,East Asia,354.01,8094,1,2,2,2,2,3,3,2
USA,2018,Man-in-the-Middle,Banking,Hacker Group,Social Engineering,Encryption,71.79,43,235073,Northern America,305.39,5467,1,2,2,2,3,1,2,3
Brazil,2024,SQL Injection,IT,Nation-state,Zero-day,Encryption,67.79,43,216199,South America,313.55,5028,1,2,1,1,3,3,3,3
Germany,2023,Man-in-the-Middle,Banking,Nation-state,Social Engineering,Antivirus,75.74,43,302968,Western Europe,249.99,7046,1,2,2,2,3,1,2,2
China,2022,Ransomware,Telecommunications,Unknown,Zero-day,Antivirus,62.71,44,258417,East Asia,242.67,5873,1,2,2,2,2,3,3,4
Australia,2023,Ransomware,Government,Unknown,Social Engineering,Firewall,81.92,44,199248,Oceania,411.15,4528,1,2,1,1,2,1,2,1
Japan,2017,DDoS,IT,Insider,Weak Passwords,Encryption,105.68,44,191738,East Asia,551.17,4358,1,2,1,1,2,1,2,2
France,2022,DDoS,Banking,Insider,Unpatched Software,AI-based Detection,182.03,44,239287,Western Europe,760.72,5438,2,2,2,2,2,2,2,2
USA,2020,DDoS,Government,Insider,Unpatched Software,Firewall,90.33,44,242978,Northern America,371.76,5522,1,2,2,2,2,2,2,3
India,2019,SQL Injection,Banking,Nation-state,Zero-day,VPN,86.1,44,210388,South Asia,409.24,4782,1,2,1,1,3,3,3,4
UK,2022,SQL Injection,IT,Nation-state,Unpatched Software,VPN,43.76,44,226375,Northern Europe,193.31,5145,1,2,1,1,3,2,3,2
China,2023,DDoS,Education,Unknown,Social Engineering,VPN,47.12,44,372857,East Asia,126.38,8474,1,2,2,2,2,1,2,4
Australia,2024,Phishing,Banking,Insider,Zero-day,Encryption,85.28,44,368980,Oceania,231.12,8386,1,2,2,2,1,3,2,1
Australia,2024,DDoS,Government,Insider,Zero-day,Encryption,98.76,44,184003,Oceania,536.73,4182,1,2,1,1,2,3,3,1
UK,2018,DDoS,IT,Unknown,Zero-day,VPN,82.17,44,194222,Northern Europe,423.07,4414,1,2,1,1,2,3,3,2
China,2021,DDoS,Telecommunications,Insider,Social Engineering,VPN,116.69,44,441609,East Asia,264.24,10037,1,2,2,2,2,1,2,4
Japan,2015,Phishing,Education,Nation-state,Social Engineering,Encryption,38.55,44,106012,East Asia,363.64,2409,1,2,1,1,1,1,1,2
Russia,2018,Malware,Government,Hacker Group,Social Engineering,Encryption,137.27,44,262123,Eastern Europe,523.69,5957,2,2,2,2,2,1,2,5
USA,2020,DDoS,IT,Insider,Social Engineering,Encryption,101.53,44,301081,Northern America,337.22,6843,1,2,2,2,2,1,2,3
USA,2024,Phishing,IT,Hacker Group,Social Engineering,AI-based Detection,41.4,44,491893,Northern America,84.16,11179,1,2,3,2,1,1,1,3
Germany,2023,Malware,Banking,Unknown,Unpatched Software,Firewall,61.94,44,335015,Western Europe,184.89,7614,1,2,2,2,2,2,2,2
USA,2023,DDoS,Retail,Hacker Group,Zero-day,VPN,69.59,44,283965,Northern America,245.07,6454,1,2,2,2,2,3,3,3
USA,2023,DDoS,Healthcare,Unknown,Weak Passwords,Encryption,78.83,44,311114,Northern America,253.38,7071,1,2,2,2,2,1,2,3
Japan,2019,Man-in-the-Middle,Telecommunications,Nation-state,Zero-day,Encryption,61.12,44,136579,East Asia,447.51,3104,1,2,1,1,3,3,3,2
Russia,2015,DDoS,Telecommunications,Unknown,Social Engineering,VPN,85.04,44,193770,Eastern Europe,438.87,4404,1,2,1,1,2,1,2,5
Japan,2015,Man-in-the-Middle,Telecommunications,Hacker Group,Zero-day,AI-based Detection,42.46,44,69718,East Asia,609.02,1585,1,2,1,1,3,3,3,2
Russia,2024,Ransomware,Government,Unknown,Social Engineering,AI-based Detection,77.69,44,301674,Eastern Europe,257.53,6856,1,2,2,2,2,1,2,5
Japan,2018,Man-in-the-Middle,Retail,Hacker Group,Social Engineering,Antivirus,25.59,44,90180,East Asia,283.77,2050,1,2,1,1,3,1,2,2
Germany,2015,Man-in-the-Middle,Education,Nation-state,Weak Passwords,Encryption,65.74,44,97950,Western Europe,671.16,2226,1,2,1,1,3,1,2,2
Russia,2019,Phishing,Government,Nation-state,Social Engineering,Antivirus,97.05,44,213605,Eastern Europe,454.34,4855,1,2,1,1,1,1,1,5
China,2015,Malware,Retail,Hacker Group,Social Engineering,Antivirus,38.19,44,171424,East Asia,222.78,3896,1,2,1,1,2,1,2,4
Brazil,2015,Phishing,Retail,Hacker Group,Unpatched Software,Antivirus,37.51,44,102206,South America,367,2323,1,2,1,1,1,2,2,3
Russia,2024,Malware,Education,Insider,Unpatched Software,Firewall,47.76,44,287656,Eastern Europe,166.03,6538,1,2,2,2,2,2,2,5
Japan,2020,Ransomware,IT,Unknown,Social Engineering,VPN,67.33,44,160305,East Asia,420.01,3643,1,2,1,1,2,1,2,2
France,2022,Ransomware,Healthcare,Insider,Social Engineering,VPN,168.46,44,332084,Western Europe,507.28,7547,2,2,2,2,2,1,2,2
USA,2020,Ransomware,Healthcare,Insider,Social Engineering,Encryption,191.23,44,468348,Northern America,408.31,10644,2,2,3,2,2,1,2,3
Australia,2022,Phishing,Education,Unknown,Zero-day,VPN,28.08,44,230684,Oceania,121.72,5243,1,2,2,2,1,3,2,1
Australia,2023,DDoS,Government,Insider,Unpatched Software,Encryption,119.65,44,185388,Oceania,645.4,4213,1,2,1,1,2,2,2,1
Russia,2019,Malware,IT,Nation-state,Zero-day,AI-based Detection,80.59,44,282297,Eastern Europe,285.48,6416,1,2,2,2,2,3,3,5
China,2016,DDoS,Education,Insider,Weak Passwords,AI-based Detection,44.39,44,201087,East Asia,220.75,4570,1,2,1,1,2,1,2,4
Russia,2021,DDoS,Banking,Insider,Social Engineering,VPN,138.89,44,409659,Eastern Europe,339.04,9310,2,2,2,2,2,1,2,5
USA,2023,Phishing,IT,Hacker Group,Social Engineering,AI-based Detection,72.37,44,507601,Northern America,142.57,11536,1,2,3,2,1,1,1,3
Australia,2024,DDoS,Banking,Insider,Weak Passwords,Firewall,143.36,44,235341,Oceania,609.16,5349,2,2,2,2,2,1,2,1
USA,2019,Ransomware,Banking,Unknown,Zero-day,Encryption,102.68,44,360473,Northern America,284.85,8193,1,2,2,2,2,3,3,3
China,2015,Malware,Retail,Hacker Group,Zero-day,Encryption,31.18,44,164068,East Asia,190.04,3729,1,2,1,1,2,3,3,4
Germany,2022,SQL Injection,Telecommunications,Hacker Group,Zero-day,Firewall,51.33,44,198142,Western Europe,259.06,4503,1,2,1,1,3,3,3,2
Brazil,2024,Ransomware,IT,Unknown,Social Engineering,Encryption,74.27,44,248448,South America,298.94,5647,1,2,2,2,2,1,2,3
India,2019,SQL Injection,Retail,Hacker Group,Unpatched Software,Firewall,35.67,44,139804,South Asia,255.14,3177,1,2,1,1,3,2,3,4
Germany,2021,DDoS,Banking,Hacker Group,Unpatched Software,Encryption,211.93,44,312822,Western Europe,677.48,7110,2,2,2,2,2,2,2,2
Russia,2018,DDoS,IT,Insider,Social Engineering,VPN,135.67,44,354650,Eastern Europe,382.55,8060,2,2,2,2,2,1,2,5
Brazil,2020,Phishing,Telecommunications,Hacker Group,Weak Passwords,AI-based Detection,47.15,44,201130,South America,234.43,4571,1,2,1,1,1,1,1,3
France,2018,DDoS,IT,Unknown,Zero-day,VPN,74.19,45,142836,Western Europe,519.41,3174,1,2,1,1,2,3,3,2
Brazil,2016,Ransomware,Education,Unknown,Social Engineering,Encryption,33.77,45,72202,South America,467.72,1604,1,2,1,1,2,1,2,3
Australia,2021,Malware,Healthcare,Insider,Unpatched Software,VPN,92.08,45,258421,Oceania,356.32,5743,1,2,2,2,2,2,2,1
France,2022,Malware,Education,Insider,Social Engineering,Encryption,22.6,45,193459,Western Europe,116.82,4299,1,2,1,1,2,1,2,2
China,2023,DDoS,Healthcare,Unknown,Unpatched Software,AI-based Detection,118.51,45,508161,East Asia,233.21,11292,1,2,3,2,2,2,2,4
Australia,2018,SQL Injection,Banking,Nation-state,Zero-day,Firewall,72.21,45,131515,Oceania,549.06,2923,1,2,1,1,3,3,3,1
France,2023,Phishing,Education,Hacker Group,Social Engineering,Encryption,82.05,45,310534,Western Europe,264.22,6901,1,2,2,2,1,1,1,2
China,2023,Malware,IT,Insider,Weak Passwords,AI-based Detection,74.16,45,436391,East Asia,169.94,9698,1,2,2,2,2,1,2,4
China,2018,DDoS,Telecommunications,Insider,Social Engineering,Antivirus,46.5,45,281813,East Asia,165,6263,1,2,2,2,2,1,2,4
Brazil,2017,DDoS,IT,Insider,Weak Passwords,AI-based Detection,113.9,45,225285,South America,505.58,5006,1,2,1,1,2,1,2,3
Russia,2018,Phishing,Government,Hacker Group,Weak Passwords,Encryption,77.61,45,181823,Eastern Europe,426.84,4041,1,2,1,1,1,1,1,5
Australia,2021,Malware,Healthcare,Nation-state,Weak Passwords,Antivirus,163.9,45,319041,Oceania,513.73,7090,2,2,2,2,2,1,2,1
USA,2024,DDoS,Retail,Insider,Social Engineering,Firewall,75.88,45,306230,Northern America,247.79,6805,1,2,2,2,2,1,2,3
Australia,2015,Malware,Banking,Insider,Social Engineering,Antivirus,110.24,45,186728,Oceania,590.38,4150,1,2,1,1,2,1,2,1
USA,2016,Phishing,Retail,Insider,Zero-day,VPN,37.25,45,236307,Northern America,157.63,5251,1,2,2,2,1,3,2,3
Brazil,2020,DDoS,Banking,Unknown,Weak Passwords,Encryption,107.61,45,258760,South America,415.87,5750,1,2,2,2,2,1,2,3
Russia,2020,Ransomware,Telecommunications,Insider,Unpatched Software,Encryption,93.94,45,265870,Eastern Europe,353.33,5908,1,2,2,2,2,2,2,5
Russia,2017,Malware,Education,Unknown,Zero-day,Firewall,21.67,45,130891,Eastern Europe,165.56,2909,1,2,1,1,2,3,3,5
India,2017,Man-in-the-Middle,Healthcare,Nation-state,Weak Passwords,AI-based Detection,121.31,45,205835,South Asia,589.36,4574,1,2,1,1,3,1,2,4
USA,2015,Ransomware,Healthcare,Unknown,Unpatched Software,VPN,121.07,45,282882,Northern America,427.99,6286,1,2,2,2,2,2,2,3
USA,2018,Malware,IT,Hacker Group,Weak Passwords,VPN,81.57,45,389387,Northern America,209.48,8653,1,2,2,2,2,1,2,3
Japan,2017,DDoS,IT,Unknown,Zero-day,AI-based Detection,52.28,45,155464,East Asia,336.28,3455,1,2,1,1,2,3,3,2
Russia,2021,Phishing,Telecommunications,Hacker Group,Zero-day,VPN,29.66,45,209497,Eastern Europe,141.58,4655,1,2,1,1,1,3,2,5
UK,2021,Malware,Healthcare,Unknown,Zero-day,Encryption,79.67,45,312383,Northern Europe,255.04,6942,1,2,2,2,2,3,3,2
Russia,2024,DDoS,Telecommunications,Insider,Weak Passwords,Antivirus,139.4,45,449919,Eastern Europe,309.83,9998,2,2,2,2,2,1,2,5
Australia,2022,DDoS,IT,Insider,Weak Passwords,Encryption,103.14,45,198148,Oceania,520.52,4403,1,2,1,1,2,1,2,1
Australia,2018,Malware,Banking,Unknown,Weak Passwords,Antivirus,73.32,45,204356,Oceania,358.79,4541,1,2,1,1,2,1,2,1
Australia,2022,Phishing,Government,Nation-state,Social Engineering,VPN,90.03,45,292555,Oceania,307.74,6501,1,2,2,2,1,1,1,1
India,2018,DDoS,Telecommunications,Unknown,Unpatched Software,Antivirus,60.14,45,225563,South Asia,266.62,5013,1,2,1,1,2,2,2,4
Germany,2021,Man-in-the-Middle,Banking,Hacker Group,Zero-day,Firewall,56.82,45,248716,Western Europe,228.45,5527,1,2,2,2,3,3,3,2
UK,2022,Malware,Healthcare,Hacker Group,Unpatched Software,AI-based Detection,186.13,45,436006,Northern Europe,426.9,9689,2,2,2,2,2,2,2,2
USA,2024,Malware,Education,Insider,Social Engineering,Antivirus,56.02,45,430099,Northern America,130.25,9558,1,2,2,2,2,1,2,3
USA,2017,Man-in-the-Middle,Retail,Hacker Group,Weak Passwords,AI-based Detection,28.34,45,141679,Northern America,200.03,3148,1,2,1,1,3,1,2,3
France,2016,Man-in-the-Middle,IT,Nation-state,Social Engineering,VPN,39.56,45,121249,Western Europe,326.27,2694,1,2,1,1,3,1,2,2
France,2023,Ransomware,Education,Insider,Weak Passwords,AI-based Detection,105.85,45,267435,Western Europe,395.8,5943,1,2,2,2,2,1,2,2
Brazil,2024,DDoS,IT,Unknown,Weak Passwords,Firewall,63.63,45,296477,South America,214.62,6588,1,2,2,2,2,1,2,3
China,2021,Ransomware,Retail,Unknown,Zero-day,Antivirus,57,45,229661,East Asia,248.19,5104,1,2,2,2,2,3,3,4
India,2018,Phishing,IT,Nation-state,Weak Passwords,Firewall,99.38,45,313355,South Asia,317.15,6963,1,2,2,2,1,1,1,4
France,2019,SQL Injection,Government,Nation-state,Weak Passwords,Antivirus,35.84,45,93184,Western Europe,384.62,2071,1,2,1,1,3,1,2,2
France,2019,Phishing,Telecommunications,Unknown,Social Engineering,Antivirus,46.89,45,224156,Western Europe,209.18,4981,1,2,1,1,1,1,1,2
Australia,2023,Man-in-the-Middle,Telecommunications,Nation-state,Unpatched Software,Firewall,48.35,45,171905,Oceania,281.26,3820,1,2,1,1,3,2,3,1
India,2020,Ransomware,Healthcare,Insider,Social Engineering,Firewall,188.07,45,280726,South Asia,669.94,6238,2,2,2,2,2,1,2,4
Australia,2019,Phishing,Education,Insider,Unpatched Software,Firewall,27.98,45,175505,Oceania,159.43,3900,1,2,1,1,1,2,2,1
India,2017,Ransomware,Banking,Unknown,Unpatched Software,VPN,154.97,45,225269,South Asia,687.93,5006,2,2,1,2,2,2,2,4
India,2022,DDoS,IT,Unknown,Weak Passwords,Encryption,96.58,45,370954,South Asia,260.36,8243,1,2,2,2,2,1,2,4
Japan,2017,Ransomware,Retail,Unknown,Unpatched Software,AI-based Detection,40.42,45,87939,East Asia,459.64,1954,1,2,1,1,2,2,2,2
UK,2019,DDoS,Telecommunications,Insider,Social Engineering,VPN,118.5,45,210436,Northern Europe,563.12,4676,1,2,1,1,2,1,2,2
India,2022,DDoS,IT,Insider,Zero-day,Firewall,75.47,45,350237,South Asia,215.48,7783,1,2,2,2,2,3,3,4
UK,2018,Malware,IT,Hacker Group,Weak Passwords,Antivirus,107.35,46,306323,Northern Europe,350.45,6659,1,2,2,2,2,1,2,2
Brazil,2023,Man-in-the-Middle,Retail,Nation-state,Social Engineering,AI-based Detection,32.46,46,152822,South America,212.4,3322,1,2,1,1,3,1,2,3
USA,2020,DDoS,Retail,Unknown,Zero-day,VPN,37.98,46,210652,Northern America,180.3,4579,1,2,1,1,2,3,3,3
Germany,2017,DDoS,Telecommunications,Insider,Weak Passwords,Antivirus,108.81,46,171474,Western Europe,634.56,3728,1,2,1,1,2,1,2,2
Brazil,2021,DDoS,Education,Unknown,Zero-day,AI-based Detection,39.37,46,179559,South America,219.26,3903,1,2,1,1,2,3,3,3
UK,2019,Phishing,Education,Nation-state,Zero-day,Firewall,45.41,46,246204,Northern Europe,184.44,5352,1,2,2,2,1,3,2,2
USA,2023,Malware,Banking,Insider,Social Engineering,AI-based Detection,119.61,46,544974,Northern America,219.48,11847,1,2,3,2,2,1,2,3
Russia,2019,DDoS,Healthcare,Unknown,Zero-day,Encryption,110.35,46,323582,Eastern Europe,341.03,7034,1,2,2,2,2,3,3,5
UK,2022,DDoS,Education,Insider,Unpatched Software,Encryption,55.4,46,190614,Northern Europe,290.64,4144,1,2,1,1,2,2,2,2
China,2023,Man-in-the-Middle,Healthcare,Nation-state,Unpatched Software,Firewall,90.44,46,378762,East Asia,238.78,8234,1,2,2,2,3,2,3,4
France,2016,DDoS,Telecommunications,Insider,Social Engineering,AI-based Detection,76.74,46,104260,Western Europe,736.04,2267,1,2,1,1,2,1,2,2
Russia,2019,Ransomware,Healthcare,Hacker Group,Social Engineering,Firewall,215.46,46,378986,Eastern Europe,568.52,8239,2,2,2,2,2,1,2,5
USA,2022,Man-in-the-Middle,Banking,Hacker Group,Weak Passwords,Antivirus,132.69,46,373050,Northern America,355.69,8110,2,2,2,2,3,1,2,3
Japan,2017,DDoS,Education,Unknown,Unpatched Software,Encryption,45.19,46,110959,East Asia,407.27,2412,1,2,1,1,2,2,2,2
Brazil,2019,Phishing,Government,Nation-state,Zero-day,VPN,87.34,46,200949,South America,434.64,4368,1,2,1,1,1,3,2,3
Japan,2017,Man-in-the-Middle,Healthcare,Nation-state,Zero-day,Antivirus,109.15,46,153188,East Asia,712.52,3330,1,2,1,1,3,3,3,2
Australia,2015,Malware,Healthcare,Unknown,Zero-day,Antivirus,103.85,46,172937,Oceania,600.51,3760,1,2,1,1,2,3,3,1
Brazil,2015,Malware,IT,Hacker Group,Zero-day,VPN,77.9,46,170482,South America,456.94,3706,1,2,1,1,2,3,3,3
UK,2021,Ransomware,Government,Unknown,Social Engineering,Firewall,72.11,46,257210,Northern Europe,280.35,5592,1,2,2,2,2,1,2,2
Australia,2022,Phishing,Banking,Nation-state,Zero-day,Encryption,127.7,46,375851,Oceania,339.76,8171,1,2,2,2,1,3,2,1
Japan,2015,Malware,Healthcare,Unknown,Social Engineering,Firewall,51.47,46,141811,East Asia,362.95,3083,1,2,1,1,2,1,2,2
Russia,2022,Ransomware,Government,Insider,Unpatched Software,Antivirus,101.62,46,290037,Eastern Europe,350.37,6305,1,2,2,2,2,2,2,5
China,2016,DDoS,Banking,Insider,Social Engineering,Firewall,134.15,46,375292,East Asia,357.45,8159,2,2,2,2,2,1,2,4
Brazil,2022,Malware,Retail,Insider,Unpatched Software,Firewall,35.12,46,208748,South America,168.24,4538,1,2,1,1,2,2,2,3
USA,2016,Phishing,IT,Nation-state,Social Engineering,Antivirus,76.18,46,345642,Northern America,220.4,7514,1,2,2,2,1,1,1,3
India,2015,Malware,Telecommunications,Insider,Unpatched Software,Firewall,67.93,46,185423,South Asia,366.35,4031,1,2,1,1,2,2,2,4
France,2016,DDoS,Banking,Unknown,Zero-day,VPN,92.2,46,126070,Western Europe,731.34,2741,1,2,1,1,2,3,3,2
USA,2017,Phishing,Banking,Hacker Group,Unpatched Software,AI-based Detection,113.93,46,403078,Northern America,282.65,8763,1,2,2,2,1,2,2,3
Australia,2022,Ransomware,Government,Insider,Social Engineering,Firewall,93.69,46,196297,Oceania,477.29,4267,1,2,1,1,2,1,2,1
USA,2016,DDoS,Healthcare,Hacker Group,Weak Passwords,AI-based Detection,186.91,46,291482,Northern America,641.24,6337,2,2,2,2,2,1,2,3
France,2021,Man-in-the-Middle,Telecommunications,Hacker Group,Unpatched Software,VPN,93.18,46,219066,Western Europe,425.35,4762,1,2,1,1,3,2,3,2
